,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
320,GEOMETRIC_CENTER,"Parkchester, Bronx, NY 10472, USA",ChIJB7ngPMH0wokRNkQDxZMas1E,PARKCHESTER New York City metro station,40.8332116,-73.8610088,1,10472,OK,"establishment,point_of_interest,subway_station,transit_station"
321,GEOMETRIC_CENTER,"Castle Hill Av, Bronx, NY 10462, USA",ChIJnVWmMcj0wokRM0BeXsXUD1c,CASTLE HILL AV New York City metro station,40.8342812,-73.85168469999999,1,10462,OK,"establishment,point_of_interest,subway_station,transit_station"
322,GEOMETRIC_CENTER,"Zerega Av, Bronx, NY 10461, USA",ChIJCaMhzrX0wokRfdXjcWdiCDI,ZEREGA AV New York City metro station,40.8368105,-73.8466696,1,10461,OK,"establishment,point_of_interest,subway_station,transit_station"
323,GEOMETRIC_CENTER,"Westchester Sq - E Tremont Av, Bronx, NY 10461, USA",ChIJ4Uo6R7P0wokRVmw22bNU7us,WESTCHESTER SQ New York City metro station,40.8401247,-73.8428258,2,10461,OK,"establishment,point_of_interest,subway_station,transit_station"
324,GEOMETRIC_CENTER,"Middletown Rd, Bronx, NY 10461, USA",ChIJv5g8H1KLwokR4PRgcPAS6ds,MIDDLETOWN RD New York City metro station,40.8439231,-73.83616549999999,1,10461,OK,"establishment,point_of_interest,subway_station,transit_station"
325,GEOMETRIC_CENTER,"Buhre Av, Bronx, NY 10461, USA",ChIJqYx80VCLwokR325i7eIyQf0,BUHRE AV New York City metro station,40.8469121,-73.8323569,1,10461,OK,"establishment,point_of_interest,subway_station,transit_station"
326,GEOMETRIC_CENTER,"Pelham Bay Park Station, Bronx, NY 10461, USA",ChIJG1cdl6eMwokRIMJP1Po2KuQ,PELHAM BAY PARK New York City metro station,40.8529308,-73.8270555,1,10461,OK,"establishment,point_of_interest,subway_station,transit_station"
327,ROOFTOP,"5 Avenue Station, 1-5, E 59th St, New York, NY 10022, USA",ChIJu-V5DfBYwokRQhqiDAK7eNg,5 AVE New York City metro station,40.7649305,-73.9725117,1,10022,OK,"establishment,point_of_interest,subway_station,transit_station"
328,GEOMETRIC_CENTER,"Vernon Blvd - Jackson Av, Queens, NY 11101, USA",ChIJ11nwnSRZwokRREp3r3kJP3U,VERNON-JACKSON New York City metro station,40.7426713,-73.9537248,1,11101,OK,"establishment,point_of_interest,subway_station,transit_station"
329,GEOMETRIC_CENTER,"Hunters Point Av, Queens, NY 11101, USA",ChIJ3bT1bSVZwokRJN_6JR8BkvU,HUNTERS PT AV New York City metro station,40.7424176,-73.9481564,1,11101,OK,"establishment,point_of_interest,subway_station,transit_station"
330,GEOMETRIC_CENTER,"Queens Plaza Subway Station, Queens, NY 11101, USA",ChIJ0Qw2XNVYwokRF8t0ORLp5FI,QUEENSBORO PLZ New York City metro station,40.74893590000001,-73.9373695,1,11101,OK,"establishment,point_of_interest,subway_station,transit_station"
331,GEOMETRIC_CENTER,"36 Avenue - Washington Avenue, Queens, NY 11106, USA",ChIJUaCcBS5fwokR_Sv3-4Zsm-0,36 AV New York City metro station,40.7566357,-73.9296452,1,11106,OK,"establishment,point_of_interest,subway_station,transit_station"
332,GEOMETRIC_CENTER,"30th AVE, Queens, NY 11102, USA",ChIJbS_fnEdfwokRXnxSSIUAA2c,30 AV New York City metro station,40.76692269999999,-73.92139619999999,1,11102,OK,"establishment,point_of_interest,subway_station,transit_station"
333,GEOMETRIC_CENTER,"Ditmars Blvd Station, Queens, NY 11105, USA",ChIJnQjE-2dfwokRarBj5XPU7_c,ASTORIA BLVD New York City metro station,40.7750149,-73.9120873,1,11105,OK,"establishment,point_of_interest,subway_station,transit_station"
334,GEOMETRIC_CENTER,"Ditmars Blvd Station, Queens, NY 11105, USA",ChIJnQjE-2dfwokRarBj5XPU7_c,ASTORIA DITMARS New York City metro station,40.7750149,-73.9120873,1,11105,OK,"establishment,point_of_interest,subway_station,transit_station"
